88,146.3287825240552
108,256.3591762268563
176,158.99354881924427
1208,113.95032070380775
369,264.11839958599506
336,105.2746744020357
220,185.60454818784308
1218,221.0800752957029
40,217.89276307301725
451,167.70939242848533
498,253.92625915815157
558,246.96459152658784
606,291.7528147864268
643,236.2343968934355
700,83.74367100640602
762,152.75113466948142
717,157.30396334858693
841,185.3342491748815
888,256.4952130595143
942,170.31878847584514
877,174.02081638138878
985,163.4368741148474
1089,253.5370389225663
1125,246.49194249970012
1199,208.92039151712217
