10,51,319.44851495565854,0.3078041076660156,0.6543585842717716, 3338442.8135051285
16,25,133.02972406649536,0.010996580123901367,0.6619401733333332, 602908.2208287679
17,25,197.76586098238732,0.031177997589111328,0.51796356, 1909071.1804358142
18,24,175.13668601867207,1.869713306427002,0.7253531901041667, 772640.6982221548
20,16,274.7083651489556,0.0,0.27547409127324746, 8001081.556210713
23,23,225.22165043641422,1.0089161396026611,0.44914973913043493, 1504320.0350452096
24,9,191.25318786992258,0.0,0.21710166666666664, 880938.3677536143
25,15,152.97061364957128,0.11576247215270996,0.7598187999999999, 402650.2467419109
26,8,123.00048289807701,0.0,0.0, 0.0
27,8,75.22470209710147,0.0,0.18828262499999998, 399530.76975159807
29,4,55.98671894785845,0.0,0.7298625000000003, 76708.58407968408
30,16,250.24566448108726,0.017021894454956055,0.23023903571428575, 1566090.909957894
31,5,179.22692486148998,0.0,0.7529013333333333, 142829.01378431258
32,13,319.63153914595347,0.0,0.44874865, 414030.0652700356
33,8,86.95461160870741,0.0032501220703125,0.5393710416666667, 96728.89891160936
35,7,116.66187983187233,0.0,0.12107104761904762, 722686.4852876583
36,15,332.06658929894536,0.006028890609741211,0.40938587500000007, 225208.0477921234
39,3,41.38628423817474,0.0,0.086901, 476246.3520347837
40,25,121.22779933825457,0.5833044052124023,0.7185526, 168711.0996999448
41,38,258.38505117324263,0.0646052360534668,0.6561715714285714, 748996.8150709781
42,43,278.4814032301109,0.08522677421569824,0.6879381892156862, 1039897.0614935602
43,19,154.86307619425807,0.005512237548828125,0.6278355727554179, 419325.1242117785
44,27,304.5107680183835,0.3351747989654541,0.44777970859182503, 1763852.0367832433
46,55,642.1732039307254,0.05837392807006836,0.40787148770943554, 9342091.009889133
48,17,211.6949180740274,0.4353184700012207,0.5311270025641026, 222673.22130375082
51,25,317.45854003547174,0.43926572799682617,0.5819419052065649, 438262.34597975225
52,11,212.42258079009207,0.003004312515258789,0.2845289499999998, 649842.728505741
53,13,164.47785500436333,0.0005033016204833984,0.6583898717948717, 299781.99006489234
55,5,14.173468731798696,0.0,0.8333375, 17008.077437771248
56,11,685.0637461443648,0.018630504608154297,0.34334627710651827, 9824133.454740698
57,4,73.96372328817279,0.0,0.1806104166666667, 245712.4832107986
58,5,115.20189230378429,0.0,0.6267343999999999, 91906.4697133142
59,15,189.03974068166903,0.00251007080078125,0.4718774206589852, 660609.1301184546
60,5,111.3328411903765,0.0010294914245605469,0.5859582, 190001.3365976899
62,7,146.01762521362764,0.0,0.8336639999999998, 175151.65008160082
63,5,62.27076270342886,0.0,0.6162922, 101040.97164206988
64,3,92.97063106386757,0.0,0.12413266666666663, 1497923.6902002848
65,2,15.635247944155402,0.0011835098266601562,2.75e-05, 1563524.7944155403
66,9,114.31457814302746,0.0,0.6041165925925926, 141919.51464092568
67,5,145.21823505237015,0.0,0.5870223333333333, 148428.6646074603
79,20,161.30443356876984,0.11441731452941895,0.6226520333333333, 777180.9530849941
80,17,303.7071609829162,0.006025552749633789,0.24173166798239112, 131551650.9957423
81,25,335.34740228562504,0.3132925033569336,0.6973414789067142, 1930944.9958486878
82,18,243.8428625181224,0.0075070858001708984,0.2662076764705882, 1906310.5863414302
83,19,269.8796919465255,0.0010001659393310547,0.5175996300366301, 1234254.5631571892
84,2,15.797313727770751,0.0,0.04736400000000001, 333529.9748283664
85,3,26.246648685346457,0.0,0.18748288888888887, 209992.35322937754
86,23,277.4095421970229,1.7070529460906982,0.44758499902115806, 1174423.3180662747
87,11,183.11613114206398,0.0010066032409667969,0.5400447654225702, 559136.0560952559
88,3,65.42620170335012,0.0,0.6666666666666666, 61729.62130711084
90,8,80.08770718637615,0.0,0.7077196969696969, 186719.0038984867
91,15,122.42462938166875,0.0009984970092773438,0.5852498000000002, 209183.54757518708
92,15,604.0838915462704,0.008147954940795898,0.4330974281516046, 2989961.279079522
93,35,318.3918154145908,0.7221786975860596,0.6438466780936455, 828837.7618109555
94,7,197.14967818759874,0.0,0.3207954081632653, 344156.48408803437
95,16,257.6836627424385,0.0025022029876708984,0.25137595192307693, 1317285.593144311
97,22,387.16277278640814,0.020064592361450195,0.49050793913949403, 950050.1331891193
